"track.id","track.name","track.popularity","track.album.release_date","track.duration_ms","track.explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","key_name","mode_name","key_mode","time_signature","genre","color"
"5cRDn5aGMLvWsldoRmOOz0","Solar System",63,"2019-07-26",288000,FALSE,0.544,0.942,5,-2.552,0,0.0464,0.0355,0.435,0.631,0.303,173.97,"F","minor","F minor",4,"DnB","#1B9E77"
"0VPtIe8j9wZMVTcYWURQGd","Sientelo",0,"2021-08-31",290742,FALSE,0.528,0.934,1,0.42,1,0.168,0.00308,0.00614,0.084,0.41,174.91,"C#","major","C# major",4,"DnB","#1B9E77"
"7AVyve7cFYTd51ha5i9kE2","Down Under (feat. Colin Hay)",67,"2021-11-19",158774,FALSE,0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,"B","minor","B minor",4,"DnB","#1B9E77"
"7cuOefq9vNVT3tDS2hRXPd","No Way Out (feat. Mira Lu Kovacs)",52,"2022-09-28",245485,FALSE,0.429,0.901,7,-0.308,0,0.1,0.00536,0.542,0.0651,0.168,175.077,"G","minor","G minor",4,"DnB","#1B9E77"
"5mjYQaktjmjcMKcUIcqz4s","Strangers",87,"2023-09-01",172964,FALSE,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,"B","minor","B minor",4,"DnB","#1B9E77"
"2ZWmmrWUgDBcPSLihBMvhg","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",78,"2023-07-27",177291,FALSE,0.633,0.931,1,-0.424,1,0.228,0.214,0.00398,0.0585,0.566,87.537,"C#","major","C# major",4,"DnB","#1B9E77"
"2yAmuAPIQ2YTfbZ0IdwTOD","Would You (go to bed with me?) [feat. Caity Baser]",59,"2023-09-29",122768,FALSE,0.617,0.785,10,-3.991,0,0.0331,0.000481,0.00205,0.372,0.553,86.989,"A#","minor","A# minor",4,"DnB","#1B9E77"
"7AkRg5fxk371ISRymhPelU","I Remember",47,"2024-02-13",203620,FALSE,0.627,0.816,5,-5.302,0,0.207,0.249,0.036,0.332,0.728,173.859,"F","minor","F minor",4,"DnB","#1B9E77"
"3tFq8IZqLaqnZO0rxbcanH","Jungle - Arcando Remix",60,"2023-11-10",163845,FALSE,0.582,0.87,1,-3.805,0,0.0595,0.0461,1.19e-05,0.126,0.15,170.17,"C#","minor","C# minor",4,"DnB","#1B9E77"
"51uRkSahJICiVwrPe7GgzY","No Tomorrow (P Money x Whiney Remix)",56,"2024-02-22",249700,FALSE,0.466,0.752,1,-3.49,1,0.0383,0.00449,6.34e-05,0.19,0.0732,175.024,"C#","major","C# major",4,"DnB","#1B9E77"
"0OyM0Z2wdidouJdqQKT4e7","Your Love",54,"2019-09-24",250264,FALSE,0.588,0.896,1,-1.779,1,0.0525,0.00152,0.00159,0.072,0.112,174.046,"C#","major","C# major",4,"DnB","#1B9E77"
"5nCNItjhTUj7MqL3oFHmFc","Phoneline",64,"2023-02-10",226206,FALSE,0.513,0.888,1,-1.333,0,0.11,0.0256,7.4e-06,0.0584,0.161,174.163,"C#","minor","C# minor",4,"DnB","#1B9E77"
"15BDY6GKFfk02WaoyytP9g","Liquor & Cigarettes (feat. ArrDee)",64,"2023-09-15",189257,FALSE,0.585,0.981,0,-0.17,1,0.334,0.0521,2.1e-06,0.0931,0.606,174.966,"C","major","C major",4,"DnB","#1B9E77"
"0IX0Pj2FKvvWrZUz26J3ZB","Punching Holes",55,"2024-03-08",193103,FALSE,0.628,0.867,7,-0.24,0,0.0445,0.0326,0.00217,0.09,0.415,173.946,"G","minor","G minor",4,"DnB","#1B9E77"
"4lI38Kj91ahnFG48FwVSrS","Alarm (feat. MC ID)",53,"2023-05-12",187240,FALSE,0.645,0.96,5,-1.461,1,0.0634,0.0723,0.394,0.419,0.243,174.001,"F","major","F major",4,"DnB","#1B9E77"
"3NvttPtSmUTY0EHZiF9fgs","Pray For Me (feat. Joe Killington)",53,"2024-03-28",245485,FALSE,0.461,0.892,7,-0.662,1,0.114,0.0233,0.00311,0.0847,0.233,175.003,"G","major","G major",4,"DnB","#1B9E77"
"5Jpz4nv8nA6FIYO5gEyQa2","Alibi (feat. Rudimental)",82,"2024-01-12",184852,FALSE,0.545,0.793,0,-3.615,0,0.0371,0.191,0.00281,0.335,0.411,87.024,"C","minor","C minor",4,"DnB","#1B9E77"
"592w58fTVk0ykHcGB4ayUb","Run Down",41,"2024-04-05",133103,FALSE,0.682,0.896,4,-5.089,1,0.199,0.0261,0.00893,0.339,0.203,174.107,"E","major","E major",4,"DnB","#1B9E77"
"7rztNRexBl8QEdtKB6Cr91","Care About Us (feat. Ebenezer)",52,"2024-01-26",148200,TRUE,0.71,0.843,8,-3.514,0,0.0658,0.177,3.45e-05,0.222,0.462,87.518,"G#","minor","G# minor",4,"DnB","#1B9E77"
"3kYENrUwhbTu4iylBisph0","Comedown",57,"2024-02-09",156555,FALSE,0.54,0.969,9,-1.192,0,0.0394,0.0954,0.00333,0.119,0.721,173.905,"A","minor","A minor",4,"DnB","#1B9E77"
"5oNuUTKQFKJGF5aLUchsFb","Inspire",47,"2023-02-03",182233,FALSE,0.401,0.723,2,-4.655,0,0.0386,0.153,0.00186,0.194,0.16,174.139,"D","minor","D minor",4,"DnB","#1B9E77"
"7qrr39Qj9OhpT23JTnS0Wd","Warning",50,"2024-04-05",246900,FALSE,0.592,0.943,7,-0.071,0,0.34,0.212,0.228,0.109,0.0398,175.131,"G","minor","G minor",4,"DnB","#1B9E77"
"1vearb3K1w5gVAXu7F2OuS","Lost In You",43,"2024-01-26",213942,FALSE,0.649,0.944,6,-1.643,1,0.0873,0.0443,3.84e-05,0.0458,0.347,175.038,"F#","major","F# major",4,"DnB","#1B9E77"
"4DwQLjh6eCUHX8Ri4ZpG8v","Head Underwater - Arcando Remix",51,"2024-02-01",150508,FALSE,0.691,0.874,11,-2.444,0,0.264,0.0201,0,0.0919,0.334,88.514,"B","minor","B minor",4,"DnB","#1B9E77"
"2TiEo6WY5sIh2pEgUzgLsG","Delete Our Love",56,"2024-01-26",171379,FALSE,0.556,0.922,11,-2.481,0,0.0522,0.0937,1.63e-06,0.111,0.253,174.02,"B","minor","B minor",4,"DnB","#1B9E77"
"0c7YR1XbbWcIUznxLsIov5","With You",47,"2023-11-10",215258,FALSE,0.484,0.92,6,-2.916,0,0.0704,0.00219,0.00156,0.235,0.13,174.123,"F#","minor","F# minor",4,"DnB","#1B9E77"
"185mPScSGRuSVx3vRWhfhg","Rhyme Dust - Dimension Remix",57,"2023-05-05",204137,FALSE,0.584,0.995,7,0.905,1,0.11,0.0579,0.818,0.373,0.597,173.981,"G","major","G major",4,"DnB","#1B9E77"
"0f97n6kmc8RYUwMyialr8y","Closer",68,"2023-05-05",135796,FALSE,0.63,0.736,1,-6.028,1,0.0445,0.0759,0.0246,0.123,0.338,87.46,"C#","major","C# major",4,"DnB","#1B9E77"
"602d2gJewoiF1FivuOMMwE","Disconnect",75,"2023-07-14",164914,TRUE,0.521,0.963,0,-0.686,1,0.0867,0.00472,0.000111,0.112,0.404,174.992,"C","major","C major",4,"DnB","#1B9E77"
"22yUER14ZEhGkhu4dFcNrW","Go Off",44,"2023-10-27",296164,FALSE,0.467,0.911,9,-3.021,0,0.052,0.00116,0.00199,0.0679,0.0633,175.038,"A","minor","A minor",4,"DnB","#1B9E77"
"0CzGIDh6bBnN05hK7FBbqR","Drop It Like Its Hot",42,"2023-07-15",132413,FALSE,0.735,0.781,8,-4.824,1,0.106,0.00186,3.49e-06,0.139,0.642,87.028,"G#","major","G# major",4,"DnB","#1B9E77"
"7DEMAdPj6e1O8CFB5FVDWt","Ruhepuls - Grey Code Remix",42,"2023-12-08",203657,FALSE,0.501,0.941,1,-0.431,1,0.212,0.00501,0.112,0.305,0.0653,174.991,"C#","major","C# major",4,"DnB","#1B9E77"
"3w3nN3MYK8fWQyQms6AoOC","Angels - Mefjus Remix",42,"2023-12-01",183771,FALSE,0.617,0.886,9,0.201,1,0.447,0.0165,0.141,0.143,0.199,174.797,"A","major","A major",4,"DnB","#1B9E77"
"2C0IvokSio8N7UyHwuB638","Free",64,"2023-08-10",187133,FALSE,0.616,0.712,0,-4.106,1,0.247,0.038,0,0.353,0.582,175.058,"C","major","C major",4,"DnB","#1B9E77"
"7kE5SGVpogBX5VXiTgYiRg","Chase The Sun",62,"2023-07-27",189655,FALSE,0.356,0.982,9,-2.104,0,0.0527,0.000778,0.00894,0.348,0.301,173.949,"A","minor","A minor",4,"DnB","#1B9E77"
"3IwA24jZLqPW3tFCWpkr7S","Swerve It",55,"2023-11-03",167314,TRUE,0.649,0.941,1,-0.098,1,0.348,0.0309,0,0.637,0.693,175.154,"C#","major","C# major",4,"DnB","#1B9E77"
"28r1xYNakXXwcQKIXu9Wjw","DJ Turn It Up",66,"2023-05-19",177931,FALSE,0.768,0.995,0,0.08,1,0.165,0.115,0.542,0.601,0.834,174.054,"C","major","C major",4,"DnB","#1B9E77"
"65SsbtgsqPYv1p4Rq93fC9","Chant",52,"2023-08-10",224775,FALSE,0.507,0.976,0,0.774,1,0.0644,0.0215,0.23,0.154,0.209,174.046,"C","major","C major",4,"DnB","#1B9E77"
"2t3iFlsIkaoV7GmVC2ptuM","Vibration (One More Time) (feat. AR/CO)",53,"2023-02-24",242758,FALSE,0.516,0.965,0,-0.597,0,0.046,0.324,0.045,0.141,0.0954,173.976,"C","minor","C minor",4,"DnB","#1B9E77"
"4U4vRo9EM6DXaLIagwbbMW","In The City",64,"2023-07-14",156346,FALSE,0.598,0.907,10,-2.274,0,0.0846,0.144,0.498,0.112,0.581,174.968,"A#","minor","A# minor",4,"DnB","#1B9E77"
"5zHzEsYUDBc9tshCpYu17D","Breathe - Mefjus & Camo & Krooked Remix",48,"2022-10-28",224914,FALSE,0.505,0.995,10,-0.295,0,0.122,0.000511,0.742,0.0781,0.419,175,"A#","minor","A# minor",4,"DnB","#1B9E77"
"5RHIevCuoIZcY1AlnJ01fN","Bittersweet Goodbye",67,"2023-06-30",166778,FALSE,0.458,0.91,9,-2.286,1,0.123,0.0144,5.05e-06,0.0416,0.313,173.955,"A","major","A major",4,"DnB","#1B9E77"
"6FgthnS6GYgLuELf7uRdDz","Move Your Body - Hedex Remix",59,"2022-05-20",200239,FALSE,0.675,0.894,10,-1.088,1,0.0526,0.158,0.00131,0.112,0.404,174.973,"A#","major","A# major",4,"DnB","#1B9E77"
"6LW3Z1GqbL78TIjfDyg4zp","Afterglow",68,"2013-01-01",225172,FALSE,0.516,0.915,7,-2.498,1,0.0562,0.0228,0.000789,0.125,0.0398,174.032,"G","major","G major",4,"DnB","#1B9E77"
"6x5OvGcJW0wE8tm3zFxPH8","Freedom",44,"2023-07-06",253803,FALSE,0.657,0.887,6,-1.393,0,0.0292,0.023,0.846,0.105,0.154,86.998,"F#","minor","F# minor",4,"DnB","#1B9E77"
"3RRoIz6Bc9ByTFqPtF5vUT","Cola",42,"2023-06-16",202241,FALSE,0.643,0.907,2,-3.138,0,0.061,0.168,5.55e-06,0.0978,0.634,173.99,"D","minor","D minor",4,"DnB","#1B9E77"
"3DEOsCKFcseZtobrpOH2J7","Gravity",0,"2019-09-20",270339,FALSE,0.405,0.917,5,-3.03,1,0.0357,0.000173,0.115,0.132,0.194,174.045,"F","major","F major",4,"DnB","#1B9E77"
"2rrQ5uFbqOpJ1dYFfiV30G","Lumberjackin' - Vocal Mix",54,"2019-02-28",240337,FALSE,0.832,0.865,4,-1.512,0,0.121,0.0238,5.26e-06,0.0632,0.44,89.001,"E","minor","E minor",4,"DnB","#1B9E77"
"5gqu7rZE6fTFwbN2metxv4","Dancing is Healing",64,"2023-04-21",177321,FALSE,0.589,0.808,2,-4.338,0,0.0848,0.265,0,0.0513,0.342,165.852,"D","minor","D minor",4,"DnB","#1B9E77"
"6etRCDiMgqmlUMBYa1CUhX","The Corner (feat. Joe Devlin)",41,"2024-01-26",156890,FALSE,0.667,0.847,1,-1.494,1,0.0329,0.148,0.00076,0.229,0.281,87.498,"C#","major","C# major",4,"DnB","#1B9E77"
"3Acp9rPxjxpoVN7prcRGq9","champion - Andromedik Remix",44,"2023-06-28",206637,FALSE,0.656,0.964,4,-1.816,1,0.27,0.158,5.36e-05,0.12,0.174,173.918,"E","major","E major",4,"DnB","#1B9E77"
"7KaF3RQY4BFMZCoUD5U7m2","Heartleap",53,"2023-05-18",190836,FALSE,0.298,0.911,1,-3.11,1,0.0994,7.78e-05,0.31,0.175,0.0866,173.909,"C#","major","C# major",4,"DnB","#1B9E77"
"4Bqgnx8kyleQKRzLPRjxJs","Even the Stars",39,"2023-04-28",191860,FALSE,0.371,0.899,3,-3.012,1,0.046,0.00194,0.0604,0.348,0.111,171.975,"D#","major","D# major",4,"DnB","#1B9E77"
"0PPnfnd0lKtWoynUuvkoku","Whatever U Did",38,"2023-05-25",165431,FALSE,0.557,0.76,3,-2.426,0,0.108,0.0957,0.00703,0.15,0.362,87.056,"D#","minor","D# minor",4,"DnB","#1B9E77"
"0Rww3ql3uRmzTvLOVBFlpn","Love To Give (with Billy Lockett)",44,"2020-03-06",202774,FALSE,0.454,0.977,11,-0.945,1,0.069,0.0819,0.00463,0.141,0.311,173.797,"B","major","B major",4,"DnB","#1B9E77"
"5HiEBFh2xlpS9HV729BxiX","Adrenaline Rush (feat. MORGAN)",55,"2023-05-26",184542,FALSE,0.37,0.855,7,-2.937,1,0.202,0.0151,0.0231,0.388,0.153,174.912,"G","major","G major",4,"DnB","#1B9E77"
"7kjANxR8XN4hCzLaSc2roy","go - goddard. Remix",0,"2022-03-04",192514,TRUE,0.728,0.689,6,-6.601,0,0.13,0.222,6.14e-05,0.107,0.0473,89.973,"F#","minor","F# minor",4,"DnB","#1B9E77"
"3okzjbfNE8uagng0tHfB02","I Found You (feat. Hayla)",58,"2023-05-12",176548,FALSE,0.479,0.868,9,-2.673,1,0.0386,0.156,0.0202,0.092,0.0989,173.789,"A","major","A major",4,"DnB","#1B9E77"
"7w8hOUvR20U6pdNa2dziHv","Alone",42,"2023-01-20",226206,FALSE,0.548,0.958,10,-2.775,0,0.0432,0.0617,0.001,0.136,0.153,173.967,"A#","minor","A# minor",4,"DnB","#1B9E77"
"06BoptrJf55tzS2UUWRg4d","Beautiful Lies - Edit",40,"2023-09-08",253893,FALSE,0.448,0.836,9,-5.093,1,0.047,0.000438,0.732,0.108,0.0892,173.976,"A","major","A major",4,"DnB","#1B9E77"
"1XMwqM4nHTxPFWdNGAxaxo","Say Nothing (feat. MAY-A) - Millbrook Remix",38,"2023-05-24",209543,FALSE,0.478,0.785,2,-4.659,0,0.0712,0.336,2.5e-06,0.0557,0.229,172.216,"D","minor","D minor",4,"DnB","#1B9E77"
"4CtHOVGGI0CXmow1DnhaVL","Immortal",0,"2023-01-27",248576,FALSE,0.442,0.973,1,-1.871,1,0.0424,0.000282,0.693,0.245,0.286,173.966,"C#","major","C# major",4,"DnB","#1B9E77"
"5cxskQNZLSxEkEhqdi5ad6","Better Than Gold",51,"2022-09-23",320000,FALSE,0.581,0.968,9,-1.94,1,0.128,0.000165,0.115,0.0998,0.38,173.998,"A","major","A major",4,"DnB","#1B9E77"
"061M9eMfatx3MsKIFxcp4C","Time",41,"2023-03-17",256293,FALSE,0.452,0.926,9,-2.725,0,0.0948,0.0123,3.28e-06,0.0976,0.184,174.026,"A","minor","A minor",4,"DnB","#1B9E77"
"4pd8nt4rexiPsqLzo3daFv","Come Together",0,"2019-05-24",238959,FALSE,0.671,0.868,1,1.221,1,0.0874,0.00279,0.273,0.148,0.463,173.037,"C#","major","C# major",4,"DnB","#1B9E77"
"5RobAV5ROH5KARimi7n3cO","messy in heaven",65,"2022-09-23",170437,FALSE,0.62,0.837,8,-4.356,0,0.13,0.128,0.000242,0.242,0.433,172.081,"G#","minor","G# minor",4,"DnB","#1B9E77"
"1I23ZdNcezc4N7QUc30rXx","No Halo",49,"2022-05-27",144992,FALSE,0.604,0.843,10,-3.932,0,0.1,0.036,6.22e-06,0.183,0.688,173.982,"A#","minor","A# minor",4,"DnB","#1B9E77"
"0vDJoZI2ScYkpUYrCcdGi5","No Gravity",41,"2023-02-24",273103,FALSE,0.374,0.948,0,-0.533,1,0.0376,0.000268,0.0246,0.282,0.0682,174.001,"C","major","C major",4,"DnB","#1B9E77"
"0a2cA9H6KuOsoHLCnjl6YL","Ready To Fly - Sub Focus & Dimension",58,"2022-10-07",204500,FALSE,0.486,0.972,8,-0.349,0,0.056,0.0331,0.658,0.177,0.34,173.965,"G#","minor","G# minor",4,"DnB","#1B9E77"
"5Lsr7AauyHMlMNjQzWb0uH","Dying Light",0,"2020-06-26",281379,FALSE,0.492,0.867,1,-4.423,1,0.0377,0.000966,0.0644,0.11,0.249,174.032,"C#","major","C# major",4,"DnB","#1B9E77"
"5IfSQQzGijWKd7dbkbqHuN","Rio (feat. Digital Farm Animals)",53,"2016-06-10",229106,FALSE,0.503,0.888,0,-4.522,1,0.0386,0.00269,0.0458,0.0733,0.589,173.057,"C","major","C major",4,"DnB","#1B9E77"
"1Mze7crzF9BWo82DiAsmjj","Tour",59,"2017-09-19",289371,FALSE,0.584,0.993,5,1.634,0,0.0527,0.456,0.688,0.129,0.36,175.082,"F","minor","F minor",4,"DnB","#1B9E77"
"4taZ23hnXd59FeBaGhuapi","Laserbeam - ÆON:MODE Remix",47,"2023-01-13",164651,FALSE,0.554,0.989,1,-1.335,1,0.0829,0.000459,0.377,0.298,0.259,172.006,"C#","major","C# major",4,"DnB","#1B9E77"
"5UvLQncwvEGiRLn0xEZw45","Off The Ground",55,"2022-06-20",242750,FALSE,0.582,0.791,0,-3.643,0,0.0427,0.0296,0.105,0.118,0.0422,174.01,"C","minor","C minor",4,"DnB","#1B9E77"
"2dodOQN1L3h2RUJwSEC3kE","We Don't Lie",42,"2022-07-20",224914,FALSE,0.661,0.913,1,-1.29,1,0.061,0.000362,0.308,0.0434,0.313,175.109,"C#","major","C# major",4,"DnB","#1B9E77"
"2jtlU6H5C9WFB0x72f6YGo","Touch",61,"2017-06-23",313562,FALSE,0.582,0.821,9,-4.304,1,0.0497,0.0354,0.121,0.083,0.0373,86.013,"A","major","A major",4,"DnB","#1B9E77"
"3WNzOFBAbi5Cc72223avI7","Gold Dust - Fox Stevenson Remix",0,"2022-03-17",233103,FALSE,0.543,0.981,0,0.836,1,0.049,0.0031,0.00125,0.151,0.428,173.998,"C","major","C major",4,"DnB","#1B9E77"
"6D1v5PAr6RKuJ8VuaS5aIO","FLUTE",59,"2022-09-23",197489,FALSE,0.75,0.863,7,-3.208,1,0.0451,0.0402,0.593,0.162,0.192,87.513,"G","major","G major",4,"DnB","#1B9E77"
"1QgebV92VO4Z7VxbQ1tSKo","Here For You",4,"2022-02-11",226206,FALSE,0.358,0.78,11,-3.4,0,0.0447,0.175,0.00062,0.265,0.0402,173.917,"B","minor","B minor",4,"DnB","#1B9E77"
"1QekTGK1X9cLQdq5isVVuH","Cheap Shot",40,"2022-07-22",224739,FALSE,0.753,0.865,1,-1.897,1,0.206,0.000339,0.0146,0.0445,0.128,86.529,"C#","major","C# major",4,"DnB","#1B9E77"
"2dLU5EMUxumBWWdzDCL7Lc","Everything But You (feat. A7S) - Luude Remix",52,"2022-03-25",189793,FALSE,0.533,0.785,6,-4.836,1,0.314,0.0814,1.04e-05,0.157,0.439,172.064,"F#","major","F# major",4,"DnB","#1B9E77"
"4IjRB1gSSwBWgBTwbmKrS0","Living For The Moment",36,"2022-11-11",206485,FALSE,0.569,0.865,5,-3.65,0,0.0343,0.0218,0.000323,0.101,0.136,87.476,"F","minor","F minor",4,"DnB","#1B9E77"
"6yZyQ2sDmelY3C6KesOYYL","Power",0,"2020-10-30",226206,FALSE,0.548,0.92,11,-0.81,1,0.0647,6.75e-05,0.877,0.0592,0.358,173.993,"B","major","B major",4,"DnB","#1B9E77"
"5EmRq15Ay5NKkxAlLmj9Q9","Return Of Forever - Camo & Krooked & Mefjus Remix",41,"2022-05-27",270697,FALSE,0.516,0.845,6,-3.554,0,0.0885,0.00209,0.0772,0.453,0.249,171.972,"F#","minor","F# minor",4,"DnB","#1B9E77"
"0AQAdESuhbfV2ldTpO2MYF","Thunder (feat. Emeli Sandé)",52,"2016-06-10",209040,FALSE,0.435,0.847,8,-3.875,0,0.0579,0.0202,2.59e-05,0.0891,0.598,172.064,"G#","minor","G# minor",4,"DnB","#1B9E77"
"1VqlpAwvOW192Th24eXenX","Feels",37,"2022-07-08",175517,FALSE,0.465,0.9,5,-4.042,1,0.0348,0.000196,0.000304,0.197,0.0978,173.896,"F","major","F major",4,"DnB","#1B9E77"
